[10/25/2019 01:03:23 PM][ DEBUG   ] Starting communication instance.
[10/25/2019 01:03:23 PM][ INFO    ] Loading Graph Engine Extensions.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Debug, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Runtime, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Extensions, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Debug, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: ReactiveProperty, Version=6.1.3.0, Culture=neutral, PublicKeyToken=910d1732782c71cb loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Reactive, Version=4.1.0.0, Culture=neutral, PublicKeyToken=94bc3704cddfc263 loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Threading.Tasks, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Collections, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Linq.Expressions, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Collections.Concurrent, Version=4.0.14.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Net.HttpListener, Version=4.0.1.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: Newtonsoft.Json, Version=9.0.0.0, Culture=neutral, PublicKeyToken=30ad4fe6b2a6aeed loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Linq.Parallel, Version=4.0.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Linq, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Linq.Queryable, Version=4.0.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Threading, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: netstandard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.IO.MemoryMappedFiles, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.IO.Pipes, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Process, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.X509Certificates, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Buffers, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Tools, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Collections.Concurrent, Version=4.0.15.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.ComponentModel.TypeConverter, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.ComponentModel.EventBasedAsync, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.ComponentModel.Primitives, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.ComponentModel, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Data.Common, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:23 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.TraceSource, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Contracts, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.TextWriterTraceListener, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.FileVersionInfo, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Drawing.Primitives, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.Compression.Brotli, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.Compression, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.Compression.ZipFile, Version=4.0.5.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.FileSystem.DriveInfo, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.FileSystem.Watcher, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.IO.IsolatedStorage, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Linq.Queryable, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Linq.Parallel, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Requests, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.ServicePoint, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.NameResolution, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.WebClient, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Http, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.WebHeaderCollection, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
